annual_rainfall,seasonal_rainfall,monthly_rainfall,cloud_visibility,temperature,humidity,atmospheric_pressure,wind_speed,river_level,cloud_cover,flood_status
2768.04,1746.37,503.66,3.84,15.96,56.07,1017.49,15.2,11.92,30.18,0
3278.83,2416.41,521.73,7.37,37.24,77.61,1014.72,46.43,8.99,70.49,1
2860.49,2132.14,584.2,7.88,34.92,87.29,1020.71,11.57,9.25,89.96,1
2496.97,1466.08,411.14,5.26,35.73,56.15,1017.83,55.89,3.09,11.86,0
934.24,562.33,186.03,7.94,26.0,56.03,1011.63,19.03,13.46,98.84,0
3899.16,3044.41,1112.04,3.51,33.83,80.15,980.21,19.37,8.61,27.27,1
3355.89,1843.8,714.04,5.4,29.53,83.57,1005.78,21.12,8.82,41.45,1
1737.03,890.48,232.84,7.02,24.37,97.59,1009.76,52.75,8.84,14.76,0
3935.91,2504.09,702.25,2.1,36.07,91.0,1028.03,64.85,4.51,15.0,1
2726.02,2018.25,559.25,3.1,39.97,89.32,1012.52,63.71,12.28,34.55,1
2663.75,1948.54,566.41,6.69,37.48,81.54,1008.77,8.89,13.0,60.85,1
3193.83,2477.97,1114.87,6.73,34.4,47.11,1007.06,19.85,4.67,91.1,0
3397.66,2242.32,884.56,5.19,33.69,88.55,985.16,47.71,6.91,16.29,1
2900.73,1537.44,682.24,8.06,31.26,96.12,1001.38,44.06,3.1,59.13,0
1209.91,818.63,305.58,5.08,36.34,63.44,986.72,25.8,3.96,47.45,0
1882.46,1380.82,416.41,8.87,27.33,58.82,982.63,60.67,5.37,99.03,0
3769.87,1990.48,592.04,7.49,19.54,71.35,996.47,10.87,13.58,26.84,1
1518.77,838.05,269.97,3.49,34.2,97.39,1012.27,45.45,9.58,43.26,0
1990.93,1002.81,305.07,4.25,37.99,43.05,1023.34,20.57,9.03,13.01,0
2182.65,1480.04,602.5,6.84,23.53,82.53,1020.52,37.85,14.23,92.28,1
2206.1,1689.91,534.44,9.0,34.57,88.88,994.73,28.35,11.97,66.02,1
2761.41,1936.3,530.36,2.2,21.84,87.32,982.3,68.62,0.73,62.91,0
3817.84,3033.7,1194.41,5.39,38.57,74.01,1000.13,35.1,2.3,14.39,1
1570.22,814.8,337.01,1.63,32.09,95.23,995.74,68.37,4.09,18.91,0
1188.8,916.45,279.62,3.15,29.23,48.07,998.56,19.34,4.91,81.12,0
1431.91,1065.65,391.04,7.02,34.5,54.71,1007.95,54.22,12.59,59.45,0
3638.16,2162.06,464.2,1.24,35.33,58.42,981.52,50.76,11.66,27.91,1
2866.59,2270.51,754.64,6.79,37.31,40.52,998.54,59.64,2.61,59.48,0
1714.9,1005.59,212.43,9.06,37.53,62.24,1007.93,49.17,8.24,97.13,0
3411.03,2615.55,542.2,9.71,16.32,49.64,1001.55,48.4,2.08,19.33,0
3556.38,2717.88,960.04,2.56,18.07,83.48,1013.36,46.93,3.01,97.32,1
3508.85,2551.97,703.92,7.61,35.65,64.9,989.31,68.98,4.01,79.76,0
3740.56,2502.59,965.09,9.3,38.65,82.27,987.69,17.51,13.63,22.98,1
1607.17,861.45,365.27,1.37,22.69,57.62,995.39,4.05,5.8,83.32,0
3216.13,2121.33,498.19,4.43,15.22,47.92,985.09,48.1,13.78,76.96,1
2273.73,1380.24,526.05,9.23,23.07,47.92,991.81,13.72,11.39,61.65,0
3494.4,2577.69,847.11,2.43,24.57,52.2,984.35,48.2,11.37,79.69,1
3131.17,2277.73,519.39,9.37,34.03,46.91,1000.1,23.74,12.15,22.71,0
3284.63,2539.62,921.62,5.51,16.19,53.23,1015.57,4.95,1.89,74.95,0
2899.72,1462.76,515.43,1.45,20.32,74.74,994.33,54.34,12.31,67.68,1
1367.77,1015.89,334.14,4.77,37.35,55.38,980.19,5.51,4.16,35.62,0
2544.09,1988.3,858.19,3.6,18.87,60.58,1007.85,17.24,14.77,72.13,1
3950.94,2911.02,961.42,3.18,33.98,43.16,1014.6,24.88,12.8,71.1,1
3799.64,2048.23,916.85,5.64,24.03,93.53,999.57,11.03,14.95,31.51,1
938.16,491.95,161.02,5.09,31.57,48.29,994.85,64.12,14.09,23.29,0
1327.41,672.0,153.86,5.08,16.85,60.92,1004.53,44.28,5.72,42.6,0
1221.53,841.18,267.17,1.34,22.16,62.77,985.06,61.53,14.15,45.92,0
3123.14,2151.53,528.38,8.12,25.62,86.33,1012.2,48.38,5.29,84.17,0
3416.91,2720.12,950.09,5.07,36.43,69.01,1016.66,69.45,10.06,49.25,1
1483.24,918.74,342.95,8.3,29.09,62.98,1015.23,37.71,12.37,76.29,0
2418.73,1450.2,459.87,8.33,16.13,81.75,996.43,5.66,6.04,51.64,0
3490.25,2398.94,538.38,3.51,35.05,75.82,1022.14,12.94,3.46,16.04,0
3144.96,2351.44,745.78,0.54,16.36,44.69,1027.34,42.01,13.48,68.75,1
2535.16,1980.04,436.33,9.16,38.36,58.76,994.85,25.65,2.0,90.58,0
2689.11,1992.46,738.27,7.73,20.29,98.72,993.14,9.68,5.79,56.65,0
2426.75,1524.01,605.93,1.52,27.2,69.0,1015.21,18.19,8.34,73.19,0
1752.16,1209.82,533.04,7.17,16.81,65.45,1015.41,34.27,12.17,80.1,0
2608.07,1974.02,468.24,0.69,29.04,49.0,1005.52,37.24,13.1,52.06,1
3004.43,1944.42,647.7,0.76,27.43,90.34,1026.17,65.55,7.92,32.48,1
3594.63,2030.99,694.36,5.5,25.26,48.0,987.32,8.17,8.81,87.41,1
2836.13,1562.47,672.83,1.41,15.89,46.31,1003.87,26.33,12.88,84.58,1
3235.59,1617.95,577.31,9.66,36.97,66.34,981.76,36.41,7.27,87.35,0
1312.23,938.86,221.93,8.99,35.07,66.2,982.63,9.7,8.61,84.32,0
2276.98,1214.38,375.35,6.67,30.83,98.89,982.68,48.77,0.77,21.98,0
829.86,475.64,172.98,1.11,29.31,47.65,1004.59,37.02,14.29,47.32,0
1589.37,936.72,351.34,3.59,32.37,69.03,1009.45,33.25,8.72,27.24,0
3124.68,2087.64,867.98,4.03,18.6,52.07,980.17,46.61,11.05,23.97,1
3973.79,2461.32,603.33,5.07,38.32,82.11,1011.63,21.57,4.09,80.33,0
1117.37,784.84,343.67,2.1,22.12,63.5,1004.49,25.07,10.02,53.32,0
2084.78,1077.19,231.36,5.99,31.41,78.91,991.19,13.06,7.17,18.16,0
3360.23,1805.05,804.95,4.64,30.17,60.3,980.76,37.61,2.13,46.55,0
1452.91,944.05,391.25,9.5,30.92,73.87,987.81,27.32,12.54,99.4,0
2576.27,1548.57,565.33,9.39,36.97,68.15,1010.02,19.7,12.67,29.12,0
3145.83,1852.09,710.74,5.87,22.4,62.46,1012.94,10.48,1.42,45.74,0
2771.15,1441.3,314.45,6.62,33.72,72.25,1012.35,3.58,6.16,63.51,0
1401.68,1077.49,226.67,1.81,29.96,63.03,987.66,15.15,4.58,27.96,0
1937.23,1370.68,309.01,2.62,16.9,88.36,1025.56,18.82,7.99,97.1,0
3308.13,1774.77,393.71,9.06,25.35,69.71,1000.55,35.01,7.59,67.14,0
2573.52,1336.98,450.36,7.14,35.95,94.19,1018.4,18.39,10.02,30.65,0
816.73,647.23,164.31,2.3,22.88,53.37,988.32,57.6,4.09,50.19,0
3235.17,2278.7,945.78,5.92,27.06,46.73,1003.53,34.24,3.71,42.48,0
913.0,570.84,177.78,9.38,27.22,62.86,1006.08,44.42,10.99,21.01,0
3186.35,2263.96,846.44,3.78,30.45,51.02,1018.52,16.14,14.65,35.61,1
1447.94,1052.51,382.29,2.27,37.1,63.59,1011.08,30.3,14.22,59.83,0
3865.84,2837.48,794.39,9.45,19.34,52.44,999.97,42.99,11.98,17.93,1
1977.41,1272.19,331.78,4.88,27.62,92.09,994.13,23.15,1.48,14.35,0
1846.18,1161.18,331.65,4.46,25.61,74.07,1028.65,24.86,3.95,58.72,0
1276.44,642.44,256.44,3.04,22.4,69.86,994.23,56.9,10.5,49.07,0
1777.93,1383.17,479.37,8.97,37.99,87.26,986.47,58.93,4.79,26.94,0
3605.28,2455.17,646.65,8.53,15.2,47.82,995.02,38.24,6.21,74.15,0
3988.27,2237.2,904.86,4.33,18.05,91.42,996.35,62.96,14.33,17.91,1
1978.59,1535.15,328.05,0.79,33.33,69.0,986.39,52.09,1.75,34.34,0
2235.55,1731.39,648.92,4.74,21.59,48.19,1015.41,5.76,12.99,19.12,0
3110.63,2478.41,767.75,2.22,33.08,89.16,1010.96,40.04,1.23,75.48,0
3635.83,2771.29,1060.91,1.86,35.81,67.65,995.83,49.45,5.4,66.94,1
2697.74,2156.4,931.27,4.23,21.37,76.28,1029.65,38.78,8.55,26.96,1
2052.88,1177.13,456.15,1.44,19.8,93.62,1012.75,58.57,5.67,60.16,0
2120.39,1595.96,495.53,9.6,18.63,93.44,1015.16,22.46,14.38,72.68,1
3025.98,2260.13,537.33,0.95,20.0,93.57,1007.86,6.45,7.81,13.08,1
810.3,461.29,185.25,4.31,21.68,65.02,1007.58,45.09,11.14,69.69,0
2782.69,1473.52,464.42,2.05,36.72,84.98,981.0,51.69,10.68,38.04,0
1937.58,1538.1,336.58,7.04,34.25,54.0,1018.55,54.04,12.61,22.17,0
3341.43,1967.46,747.17,1.25,15.05,89.87,1025.54,2.75,13.03,83.9,1
1097.57,835.54,228.07,5.69,36.85,60.5,986.11,47.79,7.26,64.55,0
2682.25,1344.44,285.32,7.84,16.97,67.83,1019.78,3.41,13.01,59.19,0
2339.11,1184.31,504.15,9.53,31.38,93.48,1006.72,54.69,9.98,85.28,0
2855.44,1826.8,585.99,7.14,18.79,88.34,994.27,49.81,10.45,33.86,1
1007.53,575.92,155.64,1.45,16.56,97.15,1026.04,40.58,3.01,11.27,0
2655.95,1877.63,711.8,1.34,33.99,61.81,980.87,36.43,4.05,95.39,0
2596.75,1738.96,732.93,7.45,26.68,49.07,993.7,50.63,10.47,33.65,0
2594.11,1357.36,271.58,2.55,29.98,94.62,1024.31,5.89,4.35,67.0,0
2731.16,1498.83,557.51,4.75,25.63,69.59,1004.05,58.59,7.61,97.93,0
2964.7,1827.48,715.92,9.78,16.68,93.36,1009.95,15.68,7.6,31.03,0
3375.96,1875.96,473.65,8.29,33.49,83.92,1017.49,34.49,3.89,99.35,0
1663.43,1227.05,395.61,8.54,35.51,92.49,987.4,35.1,8.71,58.48,0
3440.16,2149.48,477.88,8.68,16.04,79.28,990.76,54.84,8.67,96.31,1
2394.42,1264.32,488.9,6.39,24.39,88.74,1029.93,15.12,2.37,17.74,0
1046.59,675.37,278.16,7.57,28.93,47.22,991.87,22.38,6.03,57.79,0
987.36,520.59,118.2,3.91,30.13,98.1,1006.96,47.09,5.8,94.99,0
1869.56,1007.1,406.98,9.99,29.45,50.86,994.94,30.07,8.65,24.0,0
3311.67,1893.89,744.09,3.16,32.32,41.47,1022.57,22.32,11.37,34.77,1
3064.58,2322.52,665.93,6.11,39.17,71.85,1028.09,44.26,0.76,29.12,0
3323.57,2583.69,962.61,3.18,24.76,82.71,987.06,7.89,2.42,96.89,1
2455.26,1836.23,367.27,1.56,28.92,82.99,1010.03,55.7,4.88,33.72,0
2208.64,1325.67,573.95,5.89,32.48,60.35,1020.58,37.68,12.25,20.89,0
1271.85,739.88,249.78,3.86,29.81,85.23,1021.15,16.01,7.47,81.71,0
1850.22,1229.93,436.73,6.04,24.67,90.55,1002.02,29.78,7.91,56.22,0
2188.86,1568.44,574.31,5.81,30.6,76.6,991.27,10.91,6.43,63.09,0
1083.52,864.66,294.28,5.65,31.25,63.16,999.36,43.93,6.52,64.61,0
1505.96,812.42,336.5,1.67,29.62,76.81,1017.56,47.51,14.67,65.17,0
2714.32,1397.3,492.44,4.68,20.13,91.73,1029.69,29.56,13.53,50.88,1
3154.12,2234.09,953.82,8.21,27.65,94.03,1007.71,25.1,11.03,97.8,1
3994.71,2994.71,1034.92,3.49,37.11,41.89,989.76,59.79,5.2,25.67,1
3785.96,2854.25,692.96,4.72,36.72,47.34,982.1,41.17,7.95,96.21,1
2856.21,2009.45,860.83,5.19,33.77,40.27,1027.18,47.36,10.5,36.32,1
2147.99,1688.76,625.53,8.7,32.43,69.55,1004.15,10.67,6.22,27.09,0
2835.77,1852.61,694.38,6.73,18.83,66.18,1015.83,50.51,8.1,66.32,0
3314.09,2565.58,1145.2,1.45,26.49,72.75,1013.01,32.23,2.61,90.27,1
1178.68,931.56,203.82,8.72,17.77,81.02,1024.54,26.93,1.86,42.66,0
2111.7,1592.53,489.14,8.4,35.43,61.95,993.3,65.2,2.93,16.79,0
3487.37,2067.76,537.15,7.66,22.28,52.51,1002.09,5.67,11.46,58.29,1
2028.27,1133.53,405.36,4.93,34.17,63.69,1025.68,15.3,3.25,98.67,0
2629.99,1747.46,701.96,7.7,35.36,40.54,1009.28,27.5,13.91,45.06,0
2680.86,1704.77,752.79,5.05,37.31,89.77,983.57,24.03,5.84,11.8,0
1390.32,1061.27,332.87,7.5,33.85,63.02,989.72,36.73,2.95,55.08,0
1959.15,1038.37,411.77,8.86,29.12,77.37,991.86,29.26,12.47,44.54,0
1870.44,1079.84,463.54,8.96,29.95,59.48,1029.69,55.6,7.12,16.0,0
883.83,641.25,237.8,4.82,23.01,76.89,991.21,54.22,6.13,88.73,0
877.41,463.71,120.88,8.66,19.42,72.43,1023.48,54.52,5.28,65.69,0
3461.43,2063.81,726.38,1.46,18.27,52.51,983.9,27.12,5.29,23.88,0
1673.83,1031.32,456.35,1.47,19.55,77.52,989.09,29.7,10.12,93.34,0
2457.85,1688.0,754.35,5.71,38.35,46.58,1023.6,50.99,8.34,61.86,0
1755.92,961.26,346.62,6.69,19.11,68.87,1024.95,10.45,7.28,72.03,0
3810.17,2888.8,1218.34,1.95,33.09,83.19,988.81,59.93,6.98,62.51,1
1629.75,1033.69,258.51,4.99,19.62,72.94,991.49,38.81,2.56,98.05,0
2174.9,1685.78,440.86,1.4,39.38,84.78,1006.53,59.7,12.5,90.16,1
3592.74,2300.65,1008.19,6.22,24.16,56.39,982.63,55.97,13.94,11.49,1
3494.19,2035.41,475.9,8.62,25.3,42.93,1027.26,27.46,12.13,11.31,0
1395.52,757.14,187.6,7.51,25.11,43.36,998.1,8.91,7.04,53.94,0
3368.46,1688.01,515.08,4.09,35.41,56.12,1004.46,64.62,14.6,38.27,1
2266.2,1494.89,519.32,9.94,20.46,64.46,985.25,25.43,9.47,58.5,0
2345.5,1248.15,438.04,6.8,35.78,72.25,981.63,27.41,11.72,40.45,0
1227.14,757.78,206.87,8.24,31.43,85.46,1003.39,63.82,11.25,89.04,0
1057.92,715.98,307.98,6.86,20.51,90.38,986.08,64.38,10.76,25.28,0
3129.41,1823.52,781.88,9.9,16.64,81.62,1011.52,19.88,9.81,15.15,0
2388.68,1319.9,393.35,8.3,34.37,67.79,1019.72,8.05,3.57,40.86,0
2197.92,1609.79,496.74,5.43,20.47,55.87,981.58,2.08,4.77,22.52,0
3134.43,2457.51,923.1,3.99,37.23,65.67,1010.61,31.8,13.36,63.24,1
3249.64,1722.74,630.09,6.98,18.24,56.4,1020.78,40.66,3.11,52.52,0
1308.51,715.33,211.43,6.11,30.41,77.47,1001.97,20.38,2.7,73.72,0
2752.72,2169.15,658.47,6.48,32.3,89.09,1027.99,19.66,4.62,16.55,0
1233.13,630.54,180.97,3.76,31.44,71.09,985.56,26.26,5.76,77.89,0
3204.4,2542.02,657.99,4.57,22.9,42.75,996.15,19.89,8.52,34.89,1
2902.26,1455.17,457.7,5.8,36.89,96.38,991.5,60.37,9.28,70.43,0
3861.17,2942.6,1093.49,8.47,34.25,57.66,1029.81,45.71,11.96,36.19,1
1020.67,604.44,233.0,7.75,27.76,94.87,994.71,58.37,1.56,85.04,0
982.58,767.96,303.13,1.63,30.08,88.78,999.4,60.51,3.52,85.07,0
1703.0,1013.43,297.63,2.83,29.16,64.79,1022.38,31.58,7.82,37.57,0
1637.46,1140.15,445.98,0.75,38.67,43.4,1026.5,34.48,4.14,91.86,0
1590.33,833.35,168.03,0.58,37.41,96.86,1026.89,68.49,13.17,38.89,0
3700.01,2118.99,676.52,2.63,20.89,79.54,1007.91,57.55,9.78,90.61,1
1598.55,1170.3,466.34,8.09,21.57,54.98,1013.17,56.26,7.61,27.38,0
1670.24,1100.03,393.27,9.1,39.54,72.01,997.46,41.69,0.51,35.91,0
3230.07,2514.26,800.83,4.22,20.91,78.12,1010.36,33.36,12.95,89.58,1
2239.17,1407.6,508.37,5.85,38.84,53.6,995.14,62.83,7.18,17.27,0
3285.47,2500.06,1066.87,7.21,31.24,45.61,1017.3,56.71,8.21,73.16,1
1009.17,640.51,218.79,9.55,16.25,56.05,995.36,37.14,10.62,71.38,0
2360.23,1873.49,749.3,9.17,23.39,42.86,1023.97,20.39,14.09,97.49,1
907.56,715.11,318.36,1.04,26.9,44.2,987.17,12.01,2.79,97.5,0
1000.49,599.03,225.47,2.86,35.83,49.4,1008.59,39.58,1.53,53.24,0
3700.6,2833.83,972.94,0.97,23.21,49.5,1006.03,22.13,2.27,69.26,1
1245.59,939.52,196.71,6.36,22.76,54.88,993.19,19.97,11.24,24.02,0
2503.75,1410.12,414.04,7.25,38.01,96.25,981.4,9.19,2.37,30.35,0
2115.51,1453.96,496.32,3.43,16.98,74.55,987.43,4.34,7.76,60.26,0
1911.5,997.43,398.28,8.61,28.79,65.35,1028.4,55.27,10.74,31.38,0
3679.47,2763.33,855.32,4.8,27.61,73.83,1027.07,9.34,10.84,29.52,1
869.83,480.47,211.41,9.98,16.43,40.34,985.97,62.43,6.39,12.06,0
2924.13,1524.18,408.4,0.5,17.19,93.68,998.74,16.54,10.63,16.6,1
3882.86,2407.63,929.69,1.54,24.55,71.94,1003.26,53.66,14.28,74.03,1
2592.54,1744.98,531.8,3.37,18.35,67.1,1003.9,57.96,0.91,11.29,0
3797.83,2872.97,923.65,0.74,26.95,96.5,994.94,55.89,10.24,90.62,1
967.23,766.31,307.0,7.93,30.22,83.82,1025.65,61.35,8.08,17.08,0
2140.14,1352.24,370.59,1.0,32.28,60.25,1025.42,25.1,3.58,24.09,0
1632.5,845.86,189.64,7.62,28.66,96.17,980.95,69.04,4.96,40.63,0
3138.63,2274.67,750.79,1.0,24.49,91.12,1012.5,21.01,12.64,75.4,1
3940.15,2638.14,876.39,2.9,18.24,97.27,983.72,65.53,9.01,73.06,1
1620.9,1028.24,410.57,8.49,21.19,45.77,1009.87,31.75,0.71,32.19,0
2893.36,1715.13,758.22,9.54,25.49,97.32,1023.34,5.87,14.5,39.43,1
1433.91,933.07,199.51,4.44,38.1,72.57,1012.48,55.37,10.16,83.91,0
2609.06,1569.62,546.11,9.71,20.07,80.33,1003.45,55.54,6.92,54.71,0
2284.58,1661.13,615.15,6.46,25.33,52.73,1027.89,15.42,10.83,51.24,0
3910.42,2593.26,1157.76,4.45,33.31,48.42,1017.33,58.0,3.47,67.01,1
2747.29,2096.33,913.26,8.13,32.63,44.76,992.47,12.72,4.28,51.12,0
1918.42,1272.03,480.97,3.31,39.14,65.34,999.35,12.3,2.71,49.06,0
1165.11,665.83,220.02,3.03,19.77,53.28,1017.99,57.01,6.26,81.87,0
1283.99,969.83,233.13,6.74,15.41,44.9,980.97,21.73,13.62,93.83,0
1521.01,1014.77,300.42,4.21,23.06,97.3,983.2,7.23,6.13,59.43,0
1603.09,901.02,312.01,1.79,18.74,84.0,1022.97,67.03,4.68,36.04,0
3521.97,2419.78,922.66,1.14,28.71,71.07,982.15,39.88,10.7,95.47,1
2595.91,1576.54,565.74,7.98,37.47,84.6,1013.93,32.47,13.11,73.17,1
2474.85,1864.36,705.72,6.92,32.21,76.69,995.95,36.28,4.04,68.89,0
1167.26,742.37,228.12,4.41,18.39,50.68,1021.29,47.59,12.21,64.6,0
3552.45,2550.42,974.02,9.01,17.9,78.01,1022.37,60.59,4.92,76.63,1
3113.01,1645.72,388.28,4.4,37.79,80.86,1027.67,47.74,4.09,79.81,0
1016.54,629.04,151.38,7.25,27.19,54.25,984.78,52.29,7.36,81.21,0
3065.07,2436.65,586.52,9.14,38.09,59.21,1001.14,14.25,1.47,97.82,0
2539.32,1885.54,797.05,8.49,33.41,63.0,1008.7,28.12,13.0,47.01,1
1061.52,581.69,127.4,5.36,39.83,76.15,1025.8,41.77,13.18,31.84,0
2266.56,1322.15,529.36,6.97,36.78,47.61,993.33,44.12,10.32,45.47,0
2351.03,1408.14,363.85,4.43,25.36,84.61,983.58,20.41,4.89,79.01,0
1330.48,924.83,293.27,6.65,33.96,60.76,990.09,68.3,2.92,58.66,0
3826.23,2782.05,1193.47,2.95,26.78,81.51,1004.78,10.04,10.63,87.82,1
3519.92,2551.44,884.03,4.63,20.83,95.97,1014.05,9.63,1.99,31.25,0
2940.87,1920.28,484.93,2.49,21.03,92.19,1014.53,17.58,6.46,76.33,0
2279.35,1694.12,459.14,0.86,24.93,84.25,983.73,53.27,1.79,32.44,0
2117.65,1336.5,574.84,6.09,17.79,51.6,1018.07,4.49,6.68,81.92,0
2883.12,1548.71,475.12,8.71,19.44,83.92,1013.01,69.17,2.45,49.44,0
2545.38,1703.71,590.75,0.74,27.52,78.15,1000.38,69.17,0.97,99.05,0
999.27,785.12,247.3,2.36,38.85,86.35,1008.55,12.86,7.02,70.19,0
2440.01,1800.48,530.44,4.87,29.44,92.13,1018.39,29.28,8.73,76.76,0
3380.49,2277.13,582.54,6.83,25.21,58.69,993.1,15.87,6.87,13.85,0
2269.57,1575.17,585.25,2.13,21.07,78.66,1027.0,29.75,3.05,73.28,0
966.26,752.88,285.76,1.04,19.9,56.51,986.89,38.23,1.62,47.69,0
3316.09,2084.17,560.06,5.43,31.46,60.78,1025.11,57.95,2.33,39.08,0
1444.36,865.78,343.93,8.28,36.21,71.24,1017.04,4.43,11.04,81.57,0
1627.59,1290.96,533.98,0.83,24.97,66.05,1013.03,69.11,0.73,30.58,0
1327.06,1007.28,433.3,3.82,28.77,76.04,984.15,65.96,13.02,26.36,0
1856.69,1108.28,266.32,6.8,32.67,85.53,1025.95,40.79,12.68,41.98,0
3221.6,2059.04,568.26,1.74,16.46,76.3,994.77,34.7,13.27,66.64,1
2462.03,1537.6,638.24,2.74,23.77,98.19,1017.28,39.44,13.24,33.16,1
1455.62,792.92,197.94,5.59,33.24,84.29,1024.24,3.25,10.18,60.27,0
3609.06,2841.58,570.78,9.56,32.12,99.1,992.21,52.16,12.79,44.64,1
3614.66,2245.77,938.07,3.23,16.33,84.61,1025.73,35.76,11.09,45.7,1
3585.85,2734.57,770.09,5.13,20.95,70.48,1010.6,21.45,4.85,28.28,1
1564.15,870.93,264.44,4.3,32.0,64.66,1012.95,33.38,11.45,38.99,0
2243.97,1490.8,464.51,9.03,21.79,84.14,1025.73,21.89,9.43,34.65,0
3951.97,2004.39,825.95,1.18,35.36,81.23,1006.34,49.6,0.9,31.91,0
3270.44,2385.02,678.47,5.88,15.74,80.13,1002.03,43.78,11.9,17.27,1
886.94,598.04,253.01,8.54,19.76,83.31,1011.66,28.39,13.13,48.98,0
1008.65,693.63,245.71,9.89,22.03,92.33,1007.7,23.37,8.0,32.02,0
2284.58,1177.74,390.8,7.14,38.13,53.67,983.07,61.71,7.56,96.49,0
3709.5,2089.61,588.02,4.11,34.91,73.89,989.02,48.39,6.7,64.15,1
2523.85,1318.2,343.96,4.41,37.1,76.2,980.68,50.67,10.92,51.58,0
2393.0,1403.91,499.81,3.84,26.01,57.57,985.41,44.07,3.62,40.42,0
1137.52,782.87,244.04,6.23,35.56,99.28,1016.49,7.12,11.72,51.47,0
2901.7,1943.72,831.19,7.52,36.34,87.13,980.24,6.03,4.74,40.73,0
3430.73,2345.4,757.35,8.28,25.0,59.28,995.22,31.18,4.29,87.12,0
2017.34,1341.08,439.81,4.46,39.86,61.51,1002.47,65.27,12.23,33.03,0
3281.96,1909.8,580.92,7.31,36.28,83.1,1026.89,37.68,3.03,35.2,0
3886.33,2228.23,885.31,9.2,39.35,40.69,996.35,61.56,13.01,73.87,1
1452.05,785.73,240.6,9.25,36.66,67.84,1019.16,8.57,14.68,91.08,0
2474.65,1867.67,499.3,7.19,34.41,60.59,1000.44,51.25,5.14,71.21,0
1718.84,1177.31,489.18,6.55,38.6,91.24,984.92,18.68,13.95,17.63,0
3337.13,1855.29,647.88,5.55,25.5,87.48,984.94,37.67,8.71,90.91,1
2648.3,1464.94,509.62,2.24,34.58,59.93,1001.62,21.92,4.26,79.24,0
2830.66,2156.71,760.68,1.67,20.32,91.89,982.89,50.44,7.06,31.57,1
3353.33,2423.85,920.36,5.11,33.32,94.82,1008.58,29.26,12.1,15.63,1
2067.11,1442.47,401.39,2.01,34.63,73.15,1004.68,33.43,10.17,74.57,0
3728.29,2319.22,483.47,5.98,32.91,49.55,1015.13,18.68,7.67,31.11,0
2505.69,1449.78,583.75,6.63,36.25,86.22,989.28,21.14,4.23,57.14,0
1305.46,1036.32,240.66,5.49,25.33,59.16,1009.65,14.2,11.02,18.06,0
3026.88,2237.38,851.22,0.85,28.62,71.64,988.73,39.66,5.04,61.13,0
3338.44,1971.46,434.86,1.05,15.27,42.74,1016.11,11.86,5.3,11.93,0
1813.64,1367.97,401.95,1.58,18.65,70.01,995.36,20.24,11.33,58.06,0
3542.97,2578.15,556.25,1.96,31.1,62.82,1010.72,38.07,8.6,85.03,1
3699.66,2179.56,720.46,9.9,29.06,81.16,1024.13,20.69,3.19,62.27,0
1686.09,1058.81,384.65,3.77,19.93,42.45,1004.41,42.02,10.46,89.62,0
3947.27,2193.84,532.79,3.27,21.09,77.5,989.61,2.96,4.24,59.4,0
1250.28,666.79,195.31,1.0,23.6,86.32,1024.31,68.18,11.53,71.87,0
1446.45,1036.86,448.5,6.54,32.91,40.77,997.93,51.64,7.44,42.96,0
1389.52,806.27,250.43,6.7,30.24,85.0,1016.51,36.26,9.13,36.71,0
3660.77,2731.0,1094.14,2.17,16.74,47.81,996.0,64.62,9.21,40.22,1
2893.74,2311.18,997.96,9.23,34.0,81.88,994.91,61.14,2.63,19.25,0
1286.73,672.94,298.51,8.1,21.57,67.32,1012.1,26.93,9.93,32.9,0
2209.03,1418.0,602.06,2.69,31.79,73.12,987.82,9.9,13.07,44.83,0
2768.95,2050.74,572.88,5.12,18.08,60.24,1023.35,19.15,13.42,40.74,1
1067.09,786.11,346.39,4.85,39.95,54.73,999.38,16.19,10.48,54.6,0
3623.73,2638.07,1063.4,3.81,17.01,44.26,980.96,53.0,14.55,53.94,1
3371.53,2038.76,834.45,8.27,33.54,91.88,995.27,39.27,9.18,76.19,1
2416.66,1537.37,313.31,1.54,28.53,76.63,1019.25,59.81,4.2,45.62,0
3894.81,2642.59,1158.93,4.45,17.15,98.97,1022.97,35.3,10.07,70.95,1
2136.84,1692.76,667.83,4.57,15.67,91.03,1008.39,54.34,13.68,90.16,1
3949.15,2362.64,926.13,4.95,24.07,92.18,994.71,23.99,5.7,51.02,1
2937.34,2282.15,502.94,8.68,35.06,75.87,1006.39,42.95,4.34,59.81,0
2830.95,1644.23,424.45,2.57,16.03,44.86,1021.82,45.48,14.51,70.95,1
1331.06,1060.48,467.21,1.48,32.61,94.8,995.8,53.63,11.61,54.47,0
3622.17,2539.43,825.74,6.37,31.38,47.07,999.27,56.37,1.22,24.69,0
2167.97,1385.45,414.89,2.15,21.64,71.03,1006.98,20.8,8.64,36.42,0
1319.15,902.32,369.94,1.21,16.94,91.41,1024.36,28.18,3.9,12.54,0
840.34,488.88,108.45,4.55,37.88,68.34,1009.11,16.09,4.66,71.52,0
2591.22,1508.74,459.01,2.59,22.51,49.94,990.38,52.85,1.77,35.16,0
2487.68,1328.59,390.5,3.93,17.78,62.39,984.46,20.41,3.85,84.13,0
3101.93,1657.1,476.35,2.97,32.04,99.3,984.75,28.59,7.83,69.03,1
